origin_apk	original_path	target_path	density	purpose	source_sha256	target_sha256	byte_status
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_09.png	res/drawable-xxhdpi/face_successed_09.png	drawable-xxhdpi	faceid_frames	f43e31c8c641e9a2e2a0b73123ac6e5543541e3f7d59f4c8ac5e1f3d1fc3d9cb	f43e31c8c641e9a2e2a0b73123ac6e5543541e3f7d59f4c8ac5e1f3d1fc3d9cb	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_10.png	res/drawable-xxhdpi/face_successed_10.png	drawable-xxhdpi	faceid_frames	2d41819d0c32d9630083900ab7fdfdf6f934474054c03a41541dfb6702d70c2c	2d41819d0c32d9630083900ab7fdfdf6f934474054c03a41541dfb6702d70c2c	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_11.png	res/drawable-xxhdpi/face_successed_11.png	drawable-xxhdpi	faceid_frames	d0f8d792c37ce501102bfb71e0ba0b27fb859a946d025125fcd21492fc34505d	d0f8d792c37ce501102bfb71e0ba0b27fb859a946d025125fcd21492fc34505d	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_12.png	res/drawable-xxhdpi/face_successed_12.png	drawable-xxhdpi	faceid_frames	c89e0caa2926ac11c385891c0ad04053625241ee5fb3139cba1d385396a0802c	c89e0caa2926ac11c385891c0ad04053625241ee5fb3139cba1d385396a0802c	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_13.png	res/drawable-xxhdpi/face_successed_13.png	drawable-xxhdpi	faceid_frames	d0ccbb4f7dc97b1bef59f05b33332894306f87674833ac5375494836a8e71e8f	d0ccbb4f7dc97b1bef59f05b33332894306f87674833ac5375494836a8e71e8f	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_14.png	res/drawable-xxhdpi/face_successed_14.png	drawable-xxhdpi	faceid_frames	52821091d083a23a33408fa77a6d42abc988e82893cf38b12211f7a333e074bc	52821091d083a23a33408fa77a6d42abc988e82893cf38b12211f7a333e074bc	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_15.png	res/drawable-xxhdpi/face_successed_15.png	drawable-xxhdpi	faceid_frames	ea4eb62ffb754c6973bf5378070e97d8e9acc5e6a17b3470534da6c476e939ca	ea4eb62ffb754c6973bf5378070e97d8e9acc5e6a17b3470534da6c476e939ca	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_16.png	res/drawable-xxhdpi/face_successed_16.png	drawable-xxhdpi	faceid_frames	03fe41f3a4cddcb789a1abb313f65bbcddd5fa0d8a9f7687f624e98a8322b445	03fe41f3a4cddcb789a1abb313f65bbcddd5fa0d8a9f7687f624e98a8322b445	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_17.png	res/drawable-xxhdpi/face_successed_17.png	drawable-xxhdpi	faceid_frames	d7f02f28cc697401966925ae438cdc102db900e55b305d117a522a34d78f8b16	d7f02f28cc697401966925ae438cdc102db900e55b305d117a522a34d78f8b16	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_18.png	res/drawable-xxhdpi/face_successed_18.png	drawable-xxhdpi	faceid_frames	53401d75b4e38e4c022a0f32669cb1388f6de811fbaa99a75678fe52d4ca94bf	53401d75b4e38e4c022a0f32669cb1388f6de811fbaa99a75678fe52d4ca94bf	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_19.png	res/drawable-xxhdpi/face_successed_19.png	drawable-xxhdpi	faceid_frames	4493c72f6fe6cca45b40583156fcf2e36b822f84016e4998beee2c7bcf97fbb5	4493c72f6fe6cca45b40583156fcf2e36b822f84016e4998beee2c7bcf97fbb5	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_20.png	res/drawable-xxhdpi/face_successed_20.png	drawable-xxhdpi	faceid_frames	da2e294a4896704ff36b793230d935fae4856c0dd5e27366659a2aeaccc18ab9	da2e294a4896704ff36b793230d935fae4856c0dd5e27366659a2aeaccc18ab9	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_21.png	res/drawable-xxhdpi/face_successed_21.png	drawable-xxhdpi	faceid_frames	1c1f1ebe5199d12fa10e8d62a720f011469ab459733682e33f0e01d924fd14f8	1c1f1ebe5199d12fa10e8d62a720f011469ab459733682e33f0e01d924fd14f8	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_22.png	res/drawable-xxhdpi/face_successed_22.png	drawable-xxhdpi	faceid_frames	f3760e96b2339e9f91bb7e22b9e5957fbc9c732d8d2d1ae77c24d7ac37a56afb	f3760e96b2339e9f91bb7e22b9e5957fbc9c732d8d2d1ae77c24d7ac37a56afb	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_23.png	res/drawable-xxhdpi/face_successed_23.png	drawable-xxhdpi	faceid_frames	11582b6a820c46503abd8927b57d4e366ec61592cc855a846112ab9b164aab11	11582b6a820c46503abd8927b57d4e366ec61592cc855a846112ab9b164aab11	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_24.png	res/drawable-xxhdpi/face_successed_24.png	drawable-xxhdpi	faceid_frames	325f74c40283218f639e5d004a30fc8c9dfdc24689fd64e1c3ce4d7832e271d2	325f74c40283218f639e5d004a30fc8c9dfdc24689fd64e1c3ce4d7832e271d2	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_25.png	res/drawable-xxhdpi/face_successed_25.png	drawable-xxhdpi	faceid_frames	1db5856660a3693b2fbaf41d74193a6b53050ea8ded8593221fc39db84a0b165	1db5856660a3693b2fbaf41d74193a6b53050ea8ded8593221fc39db84a0b165	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_26.png	res/drawable-xxhdpi/face_successed_26.png	drawable-xxhdpi	faceid_frames	c17664832e417ea8c65613ae88d3c316535cbfef887f6db3ef941e357f3ac38a	c17664832e417ea8c65613ae88d3c316535cbfef887f6db3ef941e357f3ac38a	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_27.png	res/drawable-xxhdpi/face_successed_27.png	drawable-xxhdpi	faceid_frames	534841072c1e494d1753526c866e2291929dc89fe1f09aa71e5dabf44ee07025	534841072c1e494d1753526c866e2291929dc89fe1f09aa71e5dabf44ee07025	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_28.png	res/drawable-xxhdpi/face_successed_28.png	drawable-xxhdpi	faceid_frames	f4fca554afd29af64c65a4322faf6f9098dcf020b42b65053db159485d8fc66e	f4fca554afd29af64c65a4322faf6f9098dcf020b42b65053db159485d8fc66e	exact
